fold,test_start,strategy,total_return,max_drawdown,sharpe,sortino,profit_factor,n_trades
11,2024-08-17 10:15:00+00:00,buy_and_hold,0.016845501962609255,-0.005120567312665747,2.872671208195308,4.056625296946879,inf,1
11,2024-08-17 10:15:00+00:00,random,-0.3115027632517047,-0.3119578853605546,-53.002019554834284,-59.87859742339136,0.08843945442693116,984
11,2024-08-17 10:15:00+00:00,ema_cross,-0.19564004681665703,-0.19612384560983465,-33.90205765565725,-40.42371164797534,0.08762067101037262,399
11,2024-08-17 10:15:00+00:00,rsi_reversion,0.024445979825439057,-0.008890632462083325,4.231538134173218,6.12139020973805,2.761898865556482,40
11,2024-08-17 10:15:00+00:00,vwap_reversion,0.009866866796064855,-0.012134838801408199,1.7216185278443434,2.5409954411565345,1.5760064749923017,22
12,2024-10-08 12:15:00+00:00,buy_and_hold,-0.0006570541811359298,-0.022655245645802013,-0.08365734692282076,-0.11430782796317238,0.0,1
12,2024-10-08 12:15:00+00:00,random,-0.2902400867035212,-0.29030737786235095,-46.49598006782749,-53.59169361405626,0.13955657713103303,984
12,2024-10-08 12:15:00+00:00,ema_cross,-0.14572301980862712,-0.14628499778243775,-23.012330335578056,-29.1782227338061,0.22903932778013672,357
12,2024-10-08 12:15:00+00:00,rsi_reversion,-0.028186316700970493,-0.034882541808570866,-4.57894278379459,-6.259567701312284,0.3155699180019819,22
12,2024-10-08 12:15:00+00:00,vwap_reversion,-0.039115477071565485,-0.04453489209827555,-6.350227500566042,-8.658301659371633,0.22901277813480858,20
13,2024-11-29 14:15:00+00:00,buy_and_hold,0.005298116052713464,-0.010158842635439091,1.0528335642857718,1.4694214219418191,inf,1
13,2024-11-29 14:15:00+00:00,random,-0.3106230803477036,-0.3107546735498832,-57.939631661075396,-62.820420415480555,0.057912798561144445,984
13,2024-11-29 14:15:00+00:00,ema_cross,-0.18446627946489413,-0.18446627946489413,-34.60688362437284,-40.87897309618902,0.10552108547419595,412
13,2024-11-29 14:15:00+00:00,rsi_reversion,-0.020793149851585424,-0.02499502397655018,-4.107643892863046,-5.623472661792775,0.09867697136703882,14
13,2024-11-29 14:15:00+00:00,vwap_reversion,0.006578734953843979,-0.010597800308559613,1.307951934992846,1.8326135792231892,1.5250336578678383,20
14,2025-01-20 16:15:00+00:00,buy_and_hold,0.02795624924110718,-0.013204144792812622,4.338497562747308,5.915907004364857,inf,1
14,2025-01-20 16:15:00+00:00,random,-0.32019205209200996,-0.3202920028813745,-53.306336531014075,-58.882262792870414,0.09546944214362432,984
14,2025-01-20 16:15:00+00:00,ema_cross,-0.11004227533164701,-0.11553003120241068,-17.636022184699204,-23.196756352138227,0.3354549537439881,329
14,2025-01-20 16:15:00+00:00,rsi_reversion,-0.0359012554085667,-0.03596431293155611,-5.964199609773464,-8.237740595887601,0.25470598913945536,35
14,2025-01-20 16:15:00+00:00,vwap_reversion,-0.023425979716583556,-0.03033403011376079,-3.827992094670901,-5.407619825628064,0.44267537724861167,27
15,2025-03-13 18:15:00+00:00,buy_and_hold,0.025375549446234213,-0.02408246682649262,2.948747592761191,4.169760451265416,inf,1
15,2025-03-13 18:15:00+00:00,random,-0.31717712841929147,-0.31717712841929147,-42.49451778371325,-49.50108422944213,0.17153504576516002,984
15,2025-03-13 18:15:00+00:00,ema_cross,-0.11717066691088174,-0.12047582531161993,-14.542498233439458,-19.686712927663606,0.4077913929055991,357
15,2025-03-13 18:15:00+00:00,rsi_reversion,-0.02228282130065018,-0.036774259834914,-2.7256889303217338,-3.805770909910506,0.5983641145868369,34
15,2025-03-13 18:15:00+00:00,vwap_reversion,-0.026736285754288436,-0.043178616106396395,-3.2923403153611193,-4.54986363887728,0.568659454711228,38
16,2025-05-04 20:15:00+00:00,buy_and_hold,0.006810947484179319,-0.02288877692861946,0.9400166971476775,1.285827636317448,inf,1
16,2025-05-04 20:15:00+00:00,random,-0.3082305752301461,-0.3082602860298135,-44.14227624877605,-51.8609863689132,0.1781607538730263,984
16,2025-05-04 20:15:00+00:00,ema_cross,-0.11318510008622717,-0.1207938112101361,-15.507672201678519,-20.862501078366993,0.39877636055428983,342
16,2025-05-04 20:15:00+00:00,rsi_reversion,-0.03518718227682849,-0.036648863608250815,-4.857761875917539,-6.647985190941927,0.36809753625981984,28
16,2025-05-04 20:15:00+00:00,vwap_reversion,-0.03058581711011299,-0.038643973796033904,-4.2176954514635625,-5.75530559511252,0.49786868426708397,40
17,2025-06-25 22:15:00+00:00,buy_and_hold,-0.0014104049827422527,-0.01107137468970898,-0.28763074378430636,-0.39885241128553633,0.0,1
17,2025-06-25 22:15:00+00:00,random,-0.3156602688399909,-0.3157374555784632,-61.75077355979787,-65.38833233035618,0.05934097226761742,984
17,2025-06-25 22:15:00+00:00,ema_cross,-0.1418514147114267,-0.14188409442308447,-28.527789702747278,-35.37151366539904,0.19848105194423302,365
17,2025-06-25 22:15:00+00:00,rsi_reversion,-0.00983263843741966,-0.016459417871443227,-2.0943556397375014,-2.9173754457395216,0.644661666530923,41
17,2025-06-25 22:15:00+00:00,vwap_reversion,-0.010114772222625912,-0.016036823020094237,-2.1636103938870885,-3.117974177354734,0.5068871386411115,15
18,2025-08-17 00:15:00+00:00,buy_and_hold,0.05084433920503861,-0.005203848625874419,9.027354545493095,13.089727179567275,inf,1
18,2025-08-17 00:15:00+00:00,random,-0.31754664893634776,-0.31792710625928955,-58.8157484185178,-63.73294309531154,0.07761401159831993,984
18,2025-08-17 00:15:00+00:00,ema_cross,-0.12464663865825965,-0.12588495923590548,-23.227175909367407,-29.076032255880406,0.26451864995947233,344
18,2025-08-17 00:15:00+00:00,rsi_reversion,-0.023213819542534986,-0.025873111064035226,-4.452616282749772,-6.223744150487518,0.4718534087840022,37
18,2025-08-17 00:15:00+00:00,vwap_reversion,-0.013952789122402165,-0.01750363265626287,-2.698760874510789,-3.868506883577513,0.6021289049269397,26
19,2025-10-08 02:15:00+00:00,buy_and_hold,0.015945620905321478,-0.03392887074920725,1.4626169235621413,1.940526209037934,inf,1
19,2025-10-08 02:15:00+00:00,random,-0.32420026811027747,-0.32420026811027747,-33.90192825871525,-40.985521407975426,0.23691367024296714,984
19,2025-10-08 02:15:00+00:00,ema_cross,-0.14028247051585907,-0.14649755393993713,-13.47997883895179,-17.498551228787836,0.4099954644603663,357
19,2025-10-08 02:15:00+00:00,rsi_reversion,-0.05062847822623728,-0.055001417382087525,-4.733818824973799,-6.337283550331344,0.2724104206919111,29
19,2025-10-08 02:15:00+00:00,vwap_reversion,-0.024721473527213655,-0.04299853052929614,-2.264950630971314,-3.324534807534501,0.7073924295695261,57
20,2025-11-29 04:15:00+00:00,buy_and_hold,0.03295939189666841,-0.015890397091943176,4.735828002696461,6.409158844730662,inf,1
20,2025-11-29 04:15:00+00:00,random,-0.2972848764162268,-0.2983792313642587,-46.5519093092235,-53.502607852323436,0.15503499928938674,984
20,2025-11-29 04:15:00+00:00,ema_cross,-0.1364501331874941,-0.14153002760619393,-20.69439471001104,-26.019991397729868,0.2580225015496463,349
